reviewId,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Common,Crossover,Exotic,Factory Tuner,Hatchback,High-Performance,Hybrid,Luxury,Performance,Vehicle_Title_Partial
10, on 05/12/18 19:32 PM (PDT),Richard ,2017 Acura TLX Sedan 4dr Sedan (2.4L 4cyl 8AM),Mid-Sized Price For Entry Level Luxury," The TLX is comfortable, relatively quiet, and nice looking, inside and out.  Beware of the plastic around the seat bases. Guaranteed to crack and separate. Bad design.  Every now and then,when stopped, the transmission causes a forward ""kick"", making you wonder if someone rear ended you. The controls are complicated and not at all intuitive. Mileage is great considering its quick acceleration, BUT, premium fuel is required.",3.0,Acura,TLX,2017,gasoline,206.0,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,35,24,204,35950,False,False,False,False,False,False,False,True,False,2017 Acura TLX 4dr Sedan FWD (4cyl)
11, on 12/04/17 17:49 PM (PST),Adam ,2017 Acura TLX Sedan 4dr Sedan (2.4L 4cyl 8AM),DO NOT EVER LEASE AN ACURA," Unlike almost all auto companies in the class that Acura tries to compare itself to, Acura does not, under any circumstances, permit a lease to be assumed, regardless of circumstances. And when you approach the dealer to see if a buyback is a potential solution, they tell you that the car is worth far less than the amount of payments due..... Its a sham..... Do not EVER lease an Acura.....",1.0,Acura,TLX,2017,gasoline,206.0,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,35,24,204,35950,False,False,False,False,False,False,False,True,False,2017 Acura TLX 4dr Sedan FWD (4cyl)
12, on 02/15/17 19:56 PM (PST),Don ,2017 Acura TLX Sedan 4dr Sedan (3.5L 6cyl 9A),Practical luxury," Having had several Honda's , I wanted to try a luxury vehicle and chose the Acura TLX. I find this vehicle to be quiet, solid and sporty to drive. If you want ostrich covered upholstery and a vehicle that drives itself, this probably is not for you. But if you want a car that has all the necessary luxury items and is fun to drive, try the TLX. I also like the fact that, unlike my Honda, I don't see this vehicle every time I turn around.",5.0,Acura,TLX,2017,gasoline,290.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,34,21,204,42600,False,False,False,False,False,False,False,True,False,2017 Acura TLX 4dr Sedan FWD (6cyl)
13, on 01/17/17 09:47 AM (PST),Mike ,2017 Acura TLX Sedan 4dr Sedan (3.5L 6cyl 9A),Awesome car - Highly recommend!!!!, This is my 3rd Acura - had 2008 MDX and 2011 TSX wagon - wagon was discontinued - switched to BWW 3 wagon xDrive - what a piece of junk - never again!!!,5.0,Acura,TLX,2017,gasoline,290.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,34,21,204,42600,False,False,False,False,False,False,False,True,False,2017 Acura TLX 4dr Sedan FWD (6cyl)
14, on 12/26/16 21:52 PM (PST),Mike ,2017 Acura TLX Sedan 4dr Sedan (2.4L 4cyl 8AM),"Great car, great value"," An ex-girlfriend has this car.  I drove it for several weeks including an out of town trip/vacation.  When she told me how much she paid for it, I thought she was confused and made her show me the purchase contract.  She paid a little over 30 for the base model.  You cannot get a car like this for the money.  People that complain about the acceleration need to learn how to drive.  The 4 cylinder has more horse power than a Toyota Camry.  When you are passing or merging you floor it to make it down shift to use all 204hp.  My normal car is an infiniti G37 (330hp).  I floor the infiniti about once a week and floored the acura two or three times a day.  I paid about 45 for my infiniti with all the bells and whistles.  My car has some features that the acura doesn't have but it has some that mine doesn't.  The acura has no gas cap and shows the tire pressure for each individual tire just to name a few.  You can find better cars than the tlx and cheaper cars than the tlx but you can't find one that's better and cheaper.",5.0,Acura,TLX,2017,gasoline,206.0,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,35,24,204,35950,False,False,False,False,False,False,False,True,False,2017 Acura TLX 4dr Sedan FWD (4cyl)
15, on 08/14/16 18:47 PM (PDT),Crystal ,2015 Acura TLX Sedan 4dr Sedan (2.4L 4cyl 8AM),AVOID THE ACURA TLX!!!," What an expensive heap of junk I've leased!  I've had transmission issues from the 1st week I've had the car;  Had the car in for service 8 times for the same transmission problem (car lurches forward after I come to a stop WHILE I HAVE MY FOOT FIRMLY PRESSED DOWN ON THE BREAK); Now the interior is falling apart....part of the drivers seat (plastic section) where the seat controls are has cracked and broken off.....now I'll be dropping my car off to have that fixed.  It's laughable that Acura/American Honda Motor Company has labeled the TLX a ""luxury car"".  Trust me it's not......but don't bother trying to get your dealership OR even American Honda Motor Company to address their poorly designed, crappy built and unsafe transmissions, because you will get no where with them.  Believe me, I've fought the battle and lost.  Do yourself a favor, don't lease or buy anything vehicle that is manufactured by Acura or American Honda Motor Company....you might as well buy a Ford Pinto.",1.0,Acura,TLX,2015,gasoline,206.0,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,35,24,204,35500,False,False,False,False,False,False,False,True,False,2015 Acura TLX 4dr Sedan FWD (4cyl)
16, on 12/31/15 11:06 AM (PST),Tim ,2015 Acura TLX Sedan 4dr Sedan (2.4L 4cyl 8AM),My Wife's Car," Absolutely love driving this car! It's my wife's car but I make sure to drive it any chance I get! Interior is amazingly quite! Handling is superb and transmission shifts like a champ! The 2.4l is zippy and fun to drive despite only having 201hp. Maybe it's because my daily driver is a pickup truck, but I love this car and would consider buying a second TLX.",5.0,Acura,TLX,2015,gasoline,206.0,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,35,24,204,35500,False,False,False,False,False,False,False,True,False,2015 Acura TLX 4dr Sedan FWD (4cyl)
17, on 10/19/15 07:11 AM (PDT),Kelly ,2015 Acura TLX Sedan 4dr Sedan (3.5L 6cyl 9A),Good not great. More lux than sport," First of all I would say the car is more on the luxury car that feels a liitle sporty, but not an overall sport sedan. SO her are my pro/cons. ...PROS: Very quiet they did a good job on sound islolation, excellent fit and finish feels like a tank very solid, good smooth power from engine, very good fuel economy for V6, suspension feels premium, great truning radius due to PAWS, LED lights are excellent, handles well, 4/50 warranty ....CONS: too much cost cutting no spare tire, Leatherette seats instead of leather no advanced saftely feature without higher trim pacakage ( even the civic has lane watch), no new technology ( the accord and new civic both have google auto and apple auto...why doesn't this 36k car????), back up camera has low resolution at night, 9 sp transmission is slow to react can be jerky at times and is the biggest factor holding the car back from being really good...It's a very good value if you lease due to good residual and programs but wouldn't recommend to purchase (overpriced for the V6)",4.0,Acura,RLX,2015,gasoline,310.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,31,20,204,50950,False,False,False,False,False,False,False,True,True,2015 Acura RLX 4dr Sedan FWD (6cyl)
18, on 11/28/17 21:08 PM (PST),Jim ,2016 Acura TLX Sedan 4dr Sedan (3.5L 6cyl 9A),Premium car?????," This is not a premium car experience. The dealership previously gave me a decent deal on a used car and I was treated fairly, so I decided to try their product. The car they told me was there was ""sold"" as I drove there. This was a new group of employees (common practice). I had to unnecessarily negotiate for hours to get close to where I wanted to be on another one. Test drove the four cylinder and it was noisy, buzzy, and slow. The car with the V6 is a good highway cruiser. Pretty smooth and powerful with the V6 on the highway. Has some road/wind noise. Car handles OK. Transmission is jerky around town. The ergonomics and electronics interface are a nightmare. You have to do numerous screen functions just to turn on seat heaters. Takes your eyes off the road. Banged my shin every other time I got in the car. The seats are not very comfortable. Ride is OK. We were so disappointed with the car we traded after 9 months. Not a premium car experience (did I say that already?). We previously had a Ford SUV and liked it. We bought a loaded Ford Fusion Titanium 2.0 Turbo. Better acceleration, smoother transmission, better seats, much better ergonomics, much better Sony stereo, better controls and sync3 interface. Better rebound characteristics over bumps, same amount road noise, same handling characteristics, more room, bigger trunk, very quite with less wind noise on freeway. All this much better car and with rebates and discounts it was $10,000.00 less than the ""premium"" Acura TLX. Would not buy again.",3.0,Acura,RLX,2016,gasoline,310.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,31,20,204,54450,False,False,False,False,False,False,False,True,True,2016 Acura RLX 4dr Sedan FWD (6cyl)
19, on 03/19/17 14:26 PM (PDT),alan ,2016 Acura TLX Sedan 4dr Sedan (2.4L 4cyl 8AM),fun to drive, love the ride and how quiet the cabin is. handling is great as well as acceleration.,5.0,Acura,TLX,2016,gasoline,206.0,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,35,24,204,35750,False,False,False,False,False,False,False,True,False,2016 Acura TLX 4dr Sedan FWD (4cyl)
20, on 09/13/16 06:48 AM (PDT),Michael ,2016 Acura TLX Sedan 4dr Sedan (3.5L 6cyl 9A),Perfect combination," The perfect combination of German driving pleasure, and Honda bones.",5.0,Acura,RLX,2016,gasoline,310.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,31,20,204,54450,False,False,False,False,False,False,False,True,True,2016 Acura RLX 4dr Sedan FWD (6cyl)
21, on 04/09/16 20:51 PM (PDT),Lisa ,2016 Acura TLX Sedan 4dr Sedan (2.4L 4cyl 8AM),Transmission issues, I have taken this car to the dealership three times and complained about the hard stopping. They said it was a software issue and they fixed it. It continues to do the same. Tired of the car.,2.0,Acura,TLX,2016,gasoline,206.0,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,35,24,204,35750,False,False,False,False,False,False,False,True,False,2016 Acura TLX 4dr Sedan FWD (4cyl)
22, on 03/13/16 12:47 PM (PDT),D ,2016 Acura TLX Sedan 4dr Sedan (2.4L 4cyl 8AM),Enjoy the technology, Everything is extremely good except for some reason they have the worst tires. Performance would probably be much better with a quality high performance tire.,5.0,Acura,TLX,2016,gasoline,206.0,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,35,24,204,35750,False,False,False,False,False,False,False,True,False,2016 Acura TLX 4dr Sedan FWD (4cyl)
23, on 02/08/08 15:12 PM (PST),Steve ,2008 Acura RL Sedan 4dr Sedan AWD (3.5L 6cyl 5A),Very Pleased: RL vs M35," I compared the RL the M35x all wheel drive autos.  I found them to be very similar. Although the M35 might be slightly faster off the line I felt more comfortable in the RL driver's seat and was surprised by the sporty/firm suspension. The M35 may also win the looks category but the RL dresses up nicely with the factory flaps and spoiler. Having owned an Infinity and a Honda/Acura previously, I expect the RL to be more reliable and less costly to service. What really swayed my decision to the RL was after negotiating on both cars, the 2008 RL ended up thousands less than the M35. After a couple thousand miles, I am extremely happy with the RL.",5.0,Acura,RL,2010,gasoline,300.0,6,AUTOMATIC,AWD,4,Midsize,Sedan,22,16,204,54250,False,False,False,False,False,False,False,True,True,2010 Acura RL 4dr Sedan AWD (6cyl)
24, on 12/28/06 18:51 PM (PST),fred ,2007 Acura RL Sedan 4dr Sedan AWD (3.5L 6cyl 5A),Okay," I enjoy owning the RL. It is very comfortable and easy to handle. Acceleration is mild for horsepower rating. It behaves as though it has turbo lag. Entry is awkward, seat and steering wheel take position when I get in the car rather than waiting until door is closed or car is started. Standard battery capacity is low. Have had to charge battery twice from sitting car with engine off trying to learn/program the computer navigation system. Fuel economy is good.",4.75,Acura,RLX,2017,gasoline,310.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,30,20,204,54450,False,False,False,False,False,False,False,True,True,2017 Acura RLX 4dr Sedan FWD (6cyl)
25, on 10/29/15 16:37 PM (PDT),Randy ,2012 Acura TSX Sedan 4dr Sedan (2.4L 4cyl 5A),Comfortable/Reliable/Stylish, This is my second TSX.  I love this car.  Very comfortable on long distance drives.  Best gas mileage in its class.  Disappointed Acura decided to morph the TSX & TL into the TLX.,5.0,Acura,TSX,2012,gasoline,201.0,4,AUTOMATIC,FWD,4,Midsize,Sedan,31,22,204,30010,False,False,False,False,False,False,False,True,False,2012 Acura TSX 4dr Sedan FWD (4cyl)
26, on 08/28/15 22:26 PM (PDT),Ann ,2012 Acura TSX Sedan 4dr Sedan (3.5L 6cyl 5A),New owner of acura," this is my first Acura.  Always drove Honda Accord.  Bought the Tsx Special Edition.  Like the kool wheels. This car is nice. Except it needs a keyless entry and ignition.  Acura really dropped the ball here.  Most luxury cars in year 2012 have this feature.    Also, arm rest for driver could reach forward a bit further.Leather feels so thin, it appears to be vinyl. Ive been assured it is indeed genuine leather, but gee, not like the leather they used to put on cars!Glad i got the 6 sp standard transmission, fun to drive.   Trunk space seems small, compared to Honda accord.  Also, no pass thru from trunk, into rear seats.   Other features are ok.   But for the price, Acura dropped the ball on a few key items.  Hate the sight lines- we had to remove rear head rests to better view put the back. The car sits low and it is hard to see outnthe windows. Honda Accord and CRV had far superior sight lines.  Also, arm rest does not extend far enough for driver to rest arm on it while driving- bad design.  Why is gear knob covered in metal? This gets too hot in smmer sun, and too cold in winter freeze, making it v uncomfortable to touch, 80% of time-- Bad design, again. We switched it out for a leather gear shift cover.  C'mon Acura, devil is in the  details.    Acura missed the boat in several areas of detail on this car!Also, im NOT USING PREMIUM GAS, despite the recommendation by Acura to do so.  After 3 years and 30,000 mi., it seems to be doing fine on regular gas.   ANY OPINIONS ON THIS?   Let me hear your thoughts.Thank you ,AnnUPDATE-- still using regular gas, not premium. After 5 years, all is well, no problems with gas choice.",3.0,Acura,TSX,2012,gasoline,280.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,28,19,204,35550,False,False,False,False,False,False,False,True,True,2012 Acura TSX 4dr Sedan FWD (6cyl)
27, on 02/23/05 19:17 PM (PST),Matt ,2005 Acura NSX Coupe 2dr Coupe (3.2L 6cyl 6M),Still A Great Drive," Unless you are going to go to a racetrack and take on the new vette or vipers, you will not be disappointed by the horsepower.  The car is still 5.0 sec to 60 and handles incredibly well.  The NSX is very much improved from the 2002 model year forward.  There are very few automotive reviews on the post-2002 NSX which is a shame because the driving experience is much imporved over the older car.",4.375,Acura,NSX,2017,gasoline,573.0,6,AUTOMATED_MANUAL,AWD,2,Compact,Coupe,22,21,204,156000,False,False,True,False,False,True,True,True,False,2017 Acura NSX 2dr Coupe AWD (6cyl)
28, on 04/09/18 12:25 PM (PDT),Beth ,2012 Acura MDX SUV 4dr SUV AWD (3.7L 6cyl 6A),Great for nice weather and safe in bad weather," I love driving this vehicle.  I never had to worry about reliability for my family.  Plenty of space for myself, husband and kiddos.  Great quality!!!",5.0,Acura,MDX,2016,gasoline,290.0,6,AUTOMATIC,FWD,4,Midsize,SUV,27,19,204,43015,False,True,False,False,False,False,False,True,False,2016 Acura MDX 4dr SUV FWD (6cyl)
29, on 11/30/10 00:00 AM (PST),Mike ,2011 Acura MDX SUV 4dr SUV AWD (3.7L 6cyl 6A),All good," After not even considering this SUV, all I have to say is awesome. Performance, feel, and value,   what a shocker. Please go drive all the others, then drive this one. You will be happy to write a review after you buy it!!!!. Great product. ",4.75,Acura,ZDX,2011,gasoline,300.0,6,AUTOMATIC,AWD,4,Midsize,Hatchback,23,16,204,46020,False,True,False,False,True,False,False,True,False,2011 Acura ZDX 4dr Hatchback AWD (6cyl)
30, on 11/06/10 00:00 AM (PDT),steve ,2011 Acura MDX SUV 4dr SUV AWD (3.7L 6cyl 6A),Great SUV," Was in the market for a vehicle with third row and this fit the bill perfectly! Compared with the bmw x5 i kept coming back to this suv for comparable ride/handling and the price difference was the clincher! 3rd row standard on MDX, upgrade on BMW, leasing a base model with NOTHING out of pocket for $610 a month!!!  will add DVD player for kids for 1k later on and get a garmin for Nav.  no need to pay extra 10k for all the extra gadgets. the performance and exterior of the truck are the same no matter the tech package.",5.0,Acura,ZDX,2011,gasoline,300.0,6,AUTOMATIC,AWD,4,Midsize,Hatchback,23,16,204,46020,False,True,False,False,True,False,False,True,False,2011 Acura ZDX 4dr Hatchback AWD (6cyl)
31, on 01/27/16 15:58 PM (PST),Tommy ,2014 Acura ILX Sedan 4dr Sedan (2.0L 4cyl 5A),Reliable and luxurious," My family has had a few acuras. We have always loved them. From an Mdx with 200k+ miles to brand new RL's. Great ride, sleek look, great gas, inexpensive to maintain compared to other cars in this class.",5.0,Acura,ILX Hybrid,2014,gasoline,111.0,4,AUTOMATIC,FWD,4,Compact,Sedan,38,39,204,28900,False,False,False,False,False,False,True,True,False,2014 Acura ILX Hybrid 4dr Sedan FWD (4cyl)
32, on 11/16/17 08:03 AM (PST),Lynn ,2017 Acura ILX Sedan 4dr Sedan (2.4L 4cyl 8AM),Buyer Beware," I was a proud owner of the 2004 Acura TL.  Loved that car.  I had to buy another Acura thinking the car would make me just a happy.  That didn't happen.  The transmission doesn't know where it is.  It bangs and knocks and when you left off the gas it feels like you are lunging forward.  They say that the banging noise is ""normal"".  I was told that I was confusing the car when I drove it.  After all, it's a sensitive transmission.  What a piece of junk.  It's a hard ride and very noisy as well.  They cut every corner they could on this car and it shows.  They didn't cut the price either.  What is standard options on so many other cars now, you pay dearly for on an Acura.  I will never, ever purchase another Acura.  Never!",1.0,Acura,ILX,2017,gasoline,201.0,4,AUTOMATED_MANUAL,FWD,4,Compact,Sedan,35,25,204,32990,False,False,False,False,False,False,False,True,False,2017 Acura ILX 4dr Sedan FWD (4cyl)
33, on 06/24/17 12:16 PM (PDT),Monica ,2016 Acura ILX Sedan 4dr Sedan (2.4L 4cyl 8AM),Expensive Name with Basic Entertainment," Very disappointed in the hands-free system when in actuality it's Hands-On. You can only dial numbers that are stored in your speed dial other than that you are having to use your phone to dial numbers. While driving your phone book and dialing is not accessible which is the reason why you need these options accessible to you while driving so that it can be hands-free. I feel as though for this car to cost so much that I paid for a basic Ford Focus entertainment system on the inside of it. This car doesn't have a dial pad to dial a number you have to roll the button and push the numbers which is Hands-On. The technology in this car doesn't make sense and is not a safety feature as they say it should be. I feel as though for this car to be as expensive as it is that this Siri radio should have come along with it. But no it's a basic radio station with speakers that are not loud at all and there's no touchscreen to do anything. This is by far the worst car I've bought and wish I would have kept my Hyundai Elantra which features on the inside were so much better than this Acura and I paid 10 - 15 G less. I've contacted Acura numerous of times with only to be told that this will go in a file for my complaints. I sure wish  they would give me another car with the features that are  basic in other cars or buy this one back. This is a $30,000 car and I am so disappointed in it . I advised them that I would sell them this car back in a heartbeat and now I'm stuck with an expensive car with basic features and a High car payment. So definitely think twice about buying the ILX because you will really be disappointed in the features that they offer you in such an expensive body.Review: nothing has changed for the better. No room in car and I've almost received ticket due to having my phone in hand for trying to make a phone call because the Calling system in the car is poorly done.  I've call the company and they still have not tried to rectify my problem or even offer me a better car from my money. Their attitude is oh well. They may would have helped me If I was of political or entertainment status.",2.0,Acura,ILX,2016,gasoline,201.0,4,AUTOMATED_MANUAL,FWD,4,Compact,Sedan,36,25,204,34890,False,False,False,False,False,False,False,True,False,2016 Acura ILX 4dr Sedan FWD (4cyl)
34, on 03/28/16 18:15 PM (PDT),Jeff ,2016 Acura ILX Sedan 4dr Sedan (2.4L 4cyl 8AM),"The good , the bad, and the ugly"," I was looking forward to driving this car because I liked the styling and have owned two Acura TL's. After owning 10 Honda's also , I thought I'd check it outThe car has a nice cockpit but no lumbar support or adjustment so it was out for me with back issues. It is laid out nicely but storage is the least I've seen in any other car. console compartment is small and cheap feeling and the door storage can fit a tennis ball??My main compmaint is a general one with the CVT transmission on ANY car. It COMPLETELY takes the fun out of driving and one feels like they're a passenger in a very expensive lawn mower or sewing machine. These transmissions are solely for fuel effiiciency. Very effective for that but that's where it ends. In one minute I knew this wasn't the car for me. It shifted five times before I got to 26 mph. The 8 speed transmission makes this worse Over al the car has great styling and will last for hundreds of thousands of miles like all Japanese cars. I just want to actually enjoy the driving experience. Acura is only better than Honda of you can spend over $30K. The Civic is a superior car to the ILX and less expensive. Back to Honda or maybe Subaru",2.0,Acura,ILX,2016,gasoline,201.0,4,AUTOMATED_MANUAL,FWD,4,Compact,Sedan,36,25,204,34890,False,False,False,False,False,False,False,True,False,2016 Acura ILX 4dr Sedan FWD (4cyl)
