,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Common,Crossover,Exotic,Factory Tuner,Hatchback,High-Performance,Hybrid,Luxury,Performance,City Preference,Highway Preference,Vehicle_Title_Partial
88,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,AWD,4,Midsize,Wagon,43,31,3916,43450,False,False,False,False,False,False,False,True,False,True,False,2015 BMW 3 Series Wagon
92,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,AWD,4,Midsize,Sedan,40,30,3916,41850,False,False,False,False,False,False,False,True,False,True,False,2016 BMW 3 Series Sedan
93,BMW,3 Series,2016,gasoline,320,6,AUTOMATIC,AWD,4,Midsize,Sedan,33,22,3916,47800,False,False,False,False,False,True,False,True,False,True,False,2016 BMW 3 Series Sedan
97,BMW,3 Series,2016,gasoline,240,4,MANUAL,RWD,4,Midsize,Sedan,34,22,3916,38350,False,False,False,False,False,False,False,True,True,True,False,2016 BMW 3 Series Sedan
98,BMW,3 Series,2016,gasoline,240,4,AUTOMATIC,AWD,4,Midsize,Wagon,34,22,3916,42650,False,False,False,False,False,False,False,True,False,True,False,2016 BMW 3 Series Wagon
101,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,AWD,4,Midsize,Wagon,40,30,3916,44150,False,False,False,False,False,False,False,True,False,True,False,2016 BMW 3 Series Wagon
103,BMW,3 Series,2017,gasoline,248,4,AUTOMATIC,RWD,4,Midsize,Sedan,34,23,3916,38750,False,False,False,False,False,False,False,True,True,True,False,2017 BMW 3 Series Sedan
107,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,AWD,4,Midsize,Sedan,40,30,3916,42250,False,False,False,False,False,False,False,True,False,True,False,2017 BMW 3 Series Sedan
108,BMW,3 Series,2017,gasoline,248,4,AUTOMATIC,AWD,4,Midsize,Wagon,33,23,3916,42950,False,False,False,False,False,False,False,True,False,True,False,2017 BMW 3 Series Wagon
112,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,AWD,4,Midsize,Wagon,40,30,3916,44450,False,False,False,False,False,False,False,True,False,True,False,2017 BMW 3 Series Wagon
113,Chrysler,300,2015,gasoline,300,6,AUTOMATIC,AWD,4,Large,Sedan,27,18,1013,37570,True,False,False,False,False,False,False,False,False,False,True,2015 Chrysler 300 Sedan
121,Chrysler,300,2016,gasoline,300,6,AUTOMATIC,AWD,4,Large,Sedan,27,18,1013,38095,True,False,False,False,False,False,False,False,False,False,True,2016 Chrysler 300 Sedan
133,Chrysler,300,2017,gasoline,292,6,AUTOMATIC,AWD,4,Large,Sedan,27,18,1013,41135,True,False,False,False,False,False,False,False,False,False,True,2017 Chrysler 300 Sedan
143,Nissan,370Z,2015,gasoline,350,6,AUTOMATIC,RWD,2,Compact,Coupe,26,19,2009,46790,False,False,False,True,False,True,False,False,False,False,True,2015 Nissan 370Z Coupe
144,Nissan,370Z,2015,gasoline,332,6,MANUAL,RWD,2,Compact,Convertible,24,17,2009,48100,False,False,False,False,False,True,False,False,False,False,True,2015 Nissan 370Z Convertible
145,Nissan,370Z,2015,gasoline,332,6,MANUAL,RWD,2,Compact,Coupe,26,18,2009,29990,False,False,False,False,False,True,False,False,False,False,True,2015 Nissan 370Z Coupe
160,Nissan,370Z,2016,gasoline,332,6,AUTOMATIC,RWD,2,Compact,Convertible,25,18,2009,41820,False,False,False,False,False,True,False,False,False,False,True,2016 Nissan 370Z Convertible
162,Nissan,370Z,2016,gasoline,350,6,AUTOMATIC,RWD,2,Compact,Coupe,26,19,2009,43290,False,False,False,True,False,True,False,False,False,False,True,2016 Nissan 370Z Coupe
177,Nissan,370Z,2017,gasoline,332,6,MANUAL,RWD,2,Compact,Coupe,26,18,2009,37970,False,False,False,False,False,True,False,False,False,False,True,2017 Nissan 370Z Coupe
183,Nissan,370Z,2017,gasoline,332,6,MANUAL,RWD,2,Compact,Convertible,24,17,2009,45270,False,False,False,False,False,True,False,False,False,False,True,2017 Nissan 370Z Convertible
194,Mazda,3,2015,gasoline,184,4,MANUAL,FWD,4,Compact,Sedan,37,25,586,25045,False,False,False,False,False,False,False,False,True,True,False,2015 Mazda 3 Sedan
200,Mazda,3,2015,gasoline,184,4,AUTOMATIC,FWD,4,Compact,Hatchback,37,27,586,25395,False,False,False,False,True,False,False,False,True,True,False,2015 Mazda 3 Hatchback
216,Mazda,3,2016,gasoline,155,4,MANUAL,FWD,4,Compact,Sedan,41,29,586,22545,True,False,False,False,False,False,False,False,False,True,False,2016 Mazda 3 Sedan
218,Mazda,3,2016,gasoline,184,4,AUTOMATIC,FWD,4,Compact,Hatchback,37,27,586,25495,False,False,False,False,True,False,False,False,True,True,False,2016 Mazda 3 Hatchback
219,Mazda,3,2016,gasoline,155,4,MANUAL,FWD,4,Compact,Hatchback,40,29,586,20745,False,False,False,False,True,False,False,False,False,True,False,2016 Mazda 3 Hatchback
234,Mazda,3,2017,gasoline,155,4,AUTOMATIC,FWD,4,Midsize,Sedan,37,28,586,21495,True,False,False,False,False,False,False,False,False,True,False,2017 Mazda 3 Sedan
238,Mazda,3,2017,gasoline,155,4,AUTOMATIC,FWD,4,Compact,Hatchback,37,28,586,20145,False,False,False,False,True,False,False,False,False,True,False,2017 Mazda 3 Hatchback
240,Mazda,3,2017,gasoline,184,4,MANUAL,FWD,4,Compact,Hatchback,33,25,586,23895,False,False,False,False,True,False,False,False,True,True,False,2017 Mazda 3 Hatchback
247,BMW,4 Series Gran Coupe,2015,gasoline,240,4,AUTOMATIC,AWD,4,Midsize,Sedan,33,22,3916,42300,False,False,False,False,False,False,False,True,False,True,False,2015 BMW 4 Series Gran Coupe Sedan
253,BMW,4 Series Gran Coupe,2016,gasoline,240,4,AUTOMATIC,AWD,4,Midsize,Sedan,34,22,3916,43650,False,False,False,False,False,False,False,True,False,True,False,2016 BMW 4 Series Gran Coupe Sedan
257,BMW,4 Series Gran Coupe,2017,gasoline,320,6,AUTOMATIC,RWD,4,Midsize,Sedan,32,21,3916,48300,False,False,False,False,False,True,False,True,False,False,True,2017 BMW 4 Series Gran Coupe Sedan
261,BMW,4 Series,2015,gasoline,300,6,AUTOMATIC,AWD,2,Midsize,Convertible,29,20,3916,56900,False,False,False,False,False,False,False,True,True,False,True,2015 BMW 4 Series Convertible
262,BMW,4 Series,2015,gasoline,300,6,AUTOMATIC,RWD,2,Midsize,Coupe,32,21,3916,46250,False,False,False,False,False,False,False,True,True,False,True,2015 BMW 4 Series Coupe
273,BMW,4 Series,2016,gasoline,240,4,AUTOMATIC,AWD,2,Midsize,Convertible,33,21,3916,52000,False,False,False,False,False,False,False,True,False,False,True,2016 BMW 4 Series Convertible
275,BMW,4 Series,2016,gasoline,240,4,MANUAL,RWD,2,Midsize,Coupe,34,22,3916,41850,False,False,False,False,False,False,False,True,True,True,False,2016 BMW 4 Series Coupe
276,BMW,4 Series,2016,gasoline,300,6,AUTOMATIC,AWD,2,Midsize,Coupe,30,20,3916,50150,False,False,False,False,False,False,False,True,True,False,True,2016 BMW 4 Series Coupe
282,BMW,4 Series,2017,gasoline,248,4,AUTOMATIC,RWD,2,Midsize,Convertible,34,23,3916,50300,False,False,False,False,False,False,False,True,False,True,False,2017 BMW 4 Series Convertible
284,BMW,4 Series,2017,gasoline,320,6,AUTOMATIC,AWD,2,Midsize,Coupe,31,21,3916,50500,False,False,False,False,False,False,False,True,True,False,True,2017 BMW 4 Series Coupe
290,Ferrari,458 Italia,2013,gasoline,562,8,AUTOMATED_MANUAL,RWD,2,Compact,Convertible,17,13,2774,257412,False,False,True,False,False,True,False,False,False,False,True,2013 Ferrari 458 Italia Convertible
291,Ferrari,458 Italia,2013,gasoline,562,8,AUTOMATED_MANUAL,RWD,2,Compact,Coupe,17,13,2774,233509,False,False,True,False,False,True,False,False,False,False,True,2013 Ferrari 458 Italia Coupe
292,Ferrari,458 Italia,2014,gasoline,562,8,AUTOMATED_MANUAL,RWD,2,Compact,Coupe,17,13,2774,233509,False,False,True,False,False,True,False,False,False,False,True,2014 Ferrari 458 Italia Coupe
294,Ferrari,458 Italia,2014,gasoline,562,8,AUTOMATED_MANUAL,RWD,2,Compact,Convertible,17,13,2774,257412,False,False,True,False,False,True,False,False,False,False,True,2014 Ferrari 458 Italia Convertible
295,Ferrari,458 Italia,2015,gasoline,562,8,AUTOMATED_MANUAL,RWD,2,Compact,Coupe,17,13,2774,239340,False,False,True,False,False,True,False,False,False,False,True,2015 Ferrari 458 Italia Coupe
296,Ferrari,458 Italia,2015,gasoline,562,8,AUTOMATED_MANUAL,RWD,2,Compact,Convertible,17,13,2774,263553,False,False,True,False,False,True,False,False,False,False,True,2015 Ferrari 458 Italia Convertible
298,Alfa Romeo,4C,2015,gasoline,237,4,AUTOMATED_MANUAL,RWD,2,Compact,Convertible,34,24,113,63900,False,False,False,False,False,True,False,True,False,True,False,2015 Alfa Romeo 4C Convertible
299,Alfa Romeo,4C,2015,gasoline,237,4,AUTOMATED_MANUAL,RWD,2,Compact,Coupe,34,24,113,68400,False,False,False,False,False,True,False,True,False,True,False,2015 Alfa Romeo 4C Coupe
301,Alfa Romeo,4C,2016,gasoline,237,4,AUTOMATED_MANUAL,RWD,2,Compact,Coupe,34,24,113,55900,False,False,False,False,False,True,False,True,False,True,False,2016 Alfa Romeo 4C Coupe
302,Alfa Romeo,4C,2016,gasoline,237,4,AUTOMATED_MANUAL,RWD,2,Compact,Convertible,34,24,113,65900,False,False,False,False,False,True,False,True,False,True,False,2016 Alfa Romeo 4C Convertible
303,Toyota,4Runner,2014,gasoline,270,6,AUTOMATIC,RWD,4,Midsize,SUV,23,17,2031,41365,True,False,False,False,False,False,False,False,False,False,True,2014 Toyota 4Runner SUV
311,Toyota,4Runner,2015,gasoline,270,6,AUTOMATIC,4WD,4,Midsize,SUV,21,17,2031,37825,True,False,False,False,False,False,False,False,False,False,True,2015 Toyota 4Runner SUV
320,Toyota,4Runner,2016,gasoline,270,6,AUTOMATIC,RWD,4,Midsize,SUV,22,17,2031,36690,True,False,False,False,False,False,False,False,False,False,True,2016 Toyota 4Runner SUV
329,BMW,5 Series Gran Turismo,2015,gasoline,300,6,AUTOMATIC,RWD,4,Large,Hatchback,28,19,3916,60700,False,False,False,False,True,False,False,True,False,False,True,2015 BMW 5 Series Gran Turismo Hatchback
333,BMW,5 Series Gran Turismo,2016,gasoline,300,6,AUTOMATIC,AWD,4,Large,Hatchback,26,18,3916,63200,False,False,False,False,True,False,False,True,False,False,True,2016 BMW 5 Series Gran Turismo Hatchback
336,BMW,5 Series Gran Turismo,2017,gasoline,300,6,AUTOMATIC,AWD,4,Large,Hatchback,26,18,3916,63200,False,False,False,False,True,False,False,True,False,False,True,2017 BMW 5 Series Gran Turismo Hatchback
339,BMW,5 Series,2015,gasoline,443,8,AUTOMATIC,AWD,4,Large,Sedan,25,16,3916,67200,False,False,False,False,False,True,False,True,False,False,True,2015 BMW 5 Series Sedan
341,BMW,5 Series,2015,diesel,255,6,AUTOMATIC,RWD,4,Large,Sedan,38,26,3916,57100,False,False,False,False,False,False,False,True,False,True,False,2015 BMW 5 Series Sedan
347,BMW,5 Series,2016,diesel,255,6,AUTOMATIC,RWD,4,Large,Sedan,38,26,3916,57350,False,False,False,False,False,False,False,True,False,True,False,2016 BMW 5 Series Sedan
348,BMW,5 Series,2016,gasoline,302,6,AUTOMATIC,AWD,4,Large,Sedan,29,20,3916,58150,False,False,False,False,False,False,False,True,True,False,True,2016 BMW 5 Series Sedan
355,FIAT,500e,2015,electric,118,0,DIRECT_DRIVE,FWD,2,Compact,Hatchback,108,122,819,31800,False,False,False,False,True,False,False,False,False,True,False,2015 FIAT 500e Hatchback
356,FIAT,500e,2016,electric,118,0,DIRECT_DRIVE,FWD,2,Compact,Hatchback,103,121,819,31800,False,False,False,False,True,False,False,False,False,True,False,2016 FIAT 500e Hatchback
357,FIAT,500e,2017,electric,118,0,DIRECT_DRIVE,FWD,2,Compact,Hatchback,103,121,819,31800,False,False,False,False,True,False,False,False,False,True,False,2017 FIAT 500e Hatchback
358,FIAT,500,2015,gasoline,160,4,MANUAL,FWD,2,Compact,Convertible,34,28,819,26595,False,False,False,True,False,False,False,False,True,True,False,2015 FIAT 500 Convertible
359,FIAT,500,2015,gasoline,101,4,MANUAL,FWD,2,Compact,Hatchback,40,31,819,18700,False,False,False,False,True,False,False,False,False,True,False,2015 FIAT 500 Hatchback
369,FIAT,500,2016,gasoline,160,4,MANUAL,FWD,2,Compact,Convertible,34,28,819,26695,False,False,False,True,False,False,False,False,True,True,False,2016 FIAT 500 Convertible
370,FIAT,500,2016,gasoline,101,4,MANUAL,FWD,2,Compact,Hatchback,40,31,819,21295,False,False,False,False,True,False,False,False,False,True,False,2016 FIAT 500 Hatchback
380,FIAT,500,2017,gasoline,160,4,MANUAL,FWD,2,Compact,Hatchback,33,28,819,19995,False,False,False,True,True,False,False,False,True,True,False,2017 FIAT 500 Hatchback
381,FIAT,500,2017,gasoline,101,4,AUTOMATIC,FWD,2,Compact,Hatchback,33,27,819,19390,False,False,False,False,True,False,False,False,False,True,False,2017 FIAT 500 Hatchback
382,FIAT,500,2017,gasoline,101,4,AUTOMATIC,FWD,2,Compact,Convertible,33,27,819,17485,True,False,False,False,False,False,False,False,False,True,False,2017 FIAT 500 Convertible
384,FIAT,500,2017,gasoline,160,4,MANUAL,FWD,2,Compact,Convertible,33,28,819,21490,False,False,False,True,False,False,False,False,True,True,False,2017 FIAT 500 Convertible
386,FIAT,500L,2015,gasoline,160,4,MANUAL,FWD,4,Compact,Wagon,33,25,819,19345,True,False,False,False,False,False,False,False,False,True,False,2015 FIAT 500L Wagon
391,FIAT,500L,2016,gasoline,160,4,MANUAL,FWD,4,Compact,Wagon,33,25,819,21880,True,False,False,False,False,False,False,False,False,True,False,2016 FIAT 500L Wagon
396,FIAT,500L,2017,gasoline,160,4,AUTOMATIC,FWD,4,Compact,Wagon,30,22,819,23695,True,False,False,False,False,False,False,False,False,True,False,2017 FIAT 500L Wagon
399,FIAT,500X,2016,gasoline,180,4,AUTOMATIC,AWD,4,Compact,SUV,30,21,819,24635,False,True,False,False,False,False,False,False,False,False,True,2016 FIAT 500X SUV
405,FIAT,500X,2016,gasoline,160,4,MANUAL,FWD,4,Compact,SUV,34,25,819,20000,False,True,False,False,False,False,False,False,False,True,False,2016 FIAT 500X SUV
408,FIAT,500X,2017,gasoline,180,4,AUTOMATIC,AWD,4,Compact,SUV,29,21,819,27035,False,True,False,False,False,False,False,False,False,False,True,2017 FIAT 500X SUV
413,FIAT,500X,2017,gasoline,160,4,MANUAL,FWD,4,Compact,SUV,33,25,819,19995,False,True,False,False,False,False,False,False,False,True,False,2017 FIAT 500X SUV
414,McLaren,570S,2016,gasoline,562,8,AUTOMATED_MANUAL,RWD,2,Compact,Coupe,23,16,416,184900,False,False,True,False,False,True,False,False,False,False,True,2016 McLaren 570S Coupe
415,Maybach,57,2010,gasoline,543,12,AUTOMATIC,RWD,4,Large,Sedan,16,10,67,366000,False,False,True,False,False,False,False,True,False,False,True,2010 Maybach 57 Sedan
418,Maybach,57,2011,gasoline,543,12,AUTOMATIC,RWD,4,Large,Sedan,16,10,67,372500,False,False,True,False,False,False,False,True,False,False,True,2011 Maybach 57 Sedan
420,Maybach,57,2012,gasoline,543,12,AUTOMATIC,RWD,4,Large,Sedan,16,10,67,379050,False,False,True,False,False,False,False,True,False,False,True,2012 Maybach 57 Sedan
422,Ferrari,599,2010,gasoline,611,12,MANUAL,RWD,2,Midsize,Coupe,15,11,2774,310543,False,False,True,False,False,True,False,False,False,False,True,2010 Ferrari 599 Coupe
423,Ferrari,599,2011,gasoline,611,12,AUTOMATED_MANUAL,RWD,2,Midsize,Coupe,15,11,2774,320580,False,False,True,False,False,True,False,False,False,False,True,2011 Ferrari 599 Coupe
425,Mazda,5,2013,gasoline,157,4,AUTOMATIC,FWD,4,Compact,Minivan,28,22,586,24470,True,False,False,False,False,False,False,False,False,True,False,2013 Mazda 5 Minivan
429,Mazda,5,2014,gasoline,157,4,MANUAL,FWD,4,Compact,Minivan,28,21,586,20140,True,False,False,False,False,False,False,False,False,False,True,2014 Mazda 5 Minivan
433,Mazda,5,2015,gasoline,157,4,AUTOMATIC,FWD,4,Compact,Minivan,28,21,586,24770,True,False,False,False,False,False,False,False,False,False,True,2015 Mazda 5 Minivan
436,BMW,6 Series Gran Coupe,2015,gasoline,445,8,AUTOMATIC,AWD,4,Large,Sedan,24,16,3916,92600,False,False,False,False,False,True,False,True,False,False,True,2015 BMW 6 Series Gran Coupe Sedan
440,BMW,6 Series Gran Coupe,2016,gasoline,445,8,AUTOMATIC,AWD,4,Large,Sedan,24,15,3916,93900,False,False,False,False,False,True,False,True,False,False,True,2016 BMW 6 Series Gran Coupe Sedan
444,BMW,6 Series Gran Coupe,2017,gasoline,445,8,AUTOMATIC,RWD,4,Large,Sedan,24,17,3916,91200,False,False,False,False,False,True,False,True,False,False,True,2017 BMW 6 Series Gran Coupe Sedan
448,BMW,6 Series,2015,gasoline,445,8,AUTOMATIC,RWD,2,Midsize,Convertible,25,17,3916,94900,False,False,False,False,False,True,False,True,False,False,True,2015 BMW 6 Series Convertible
450,BMW,6 Series,2015,gasoline,315,6,AUTOMATIC,AWD,2,Midsize,Coupe,29,20,3916,79100,False,False,False,False,False,False,False,True,True,False,True,2015 BMW 6 Series Coupe
456,BMW,6 Series,2016,gasoline,315,6,AUTOMATIC,AWD,2,Midsize,Convertible,29,20,3916,87800,False,False,False,False,False,False,False,True,True,False,True,2016 BMW 6 Series Convertible
457,BMW,6 Series,2016,gasoline,315,6,AUTOMATIC,RWD,2,Midsize,Coupe,31,20,3916,77300,False,False,False,False,False,False,False,True,True,False,True,2016 BMW 6 Series Coupe
464,BMW,6 Series,2017,gasoline,445,8,AUTOMATIC,AWD,2,Midsize,Coupe,24,16,3916,92000,False,False,False,False,False,True,False,True,False,False,True,2017 BMW 6 Series Coupe
468,BMW,6 Series,2017,gasoline,315,6,AUTOMATIC,RWD,2,Midsize,Convertible,29,20,3916,85100,False,False,False,False,False,False,False,True,True,False,True,2017 BMW 6 Series Convertible
472,Ferrari,612 Scaglietti,2010,gasoline,532,12,AUTOMATED_MANUAL,RWD,2,Large,Coupe,16,9,2774,313088,False,False,True,False,False,True,False,False,False,False,True,2010 Ferrari 612 Scaglietti Coupe
473,Ferrari,612 Scaglietti,2011,gasoline,532,12,AUTOMATED_MANUAL,RWD,2,Large,Coupe,16,9,2774,313088,False,False,True,False,False,True,False,False,False,False,True,2011 Ferrari 612 Scaglietti Coupe
474,Maybach,62,2010,gasoline,604,12,AUTOMATIC,RWD,4,Large,Sedan,16,10,67,456500,False,False,True,False,False,True,False,True,False,False,True,2010 Maybach 62 Sedan
477,Maybach,62,2011,gasoline,543,12,AUTOMATIC,RWD,4,Large,Sedan,16,10,67,423500,False,False,True,False,False,False,False,True,False,False,True,2011 Maybach 62 Sedan
479,Maybach,62,2012,gasoline,620,12,AUTOMATIC,RWD,4,Large,Sedan,16,10,67,470350,False,False,True,False,False,False,False,True,True,False,True,2012 Maybach 62 Sedan
481,McLaren,650S Coupe,2015,gasoline,641,8,AUTOMATED_MANUAL,RWD,2,Compact,Coupe,22,16,416,265500,False,False,True,False,False,True,False,False,False,False,True,2015 McLaren 650S Coupe Coupe
482,McLaren,650S Spider,2015,gasoline,641,8,AUTOMATED_MANUAL,RWD,2,Compact,Convertible,22,16,416,280225,False,False,True,False,False,True,False,False,False,False,True,2015 McLaren 650S Spider Convertible
483,Mazda,6,2015,gasoline,184,4,AUTOMATIC,FWD,4,Midsize,Sedan,38,26,586,24895,True,False,False,False,False,False,False,False,False,True,False,2015 Mazda 6 Sedan
488,Mazda,6,2016,gasoline,184,4,AUTOMATIC,FWD,4,Midsize,Sedan,38,26,586,22995,True,False,False,False,False,False,False,False,False,True,False,2016 Mazda 6 Sedan
493,Mazda,6,2017,gasoline,184,4,AUTOMATIC,FWD,4,Midsize,Sedan,35,26,586,30695,True,False,False,False,False,False,False,False,False,True,False,2017 Mazda 6 Sedan
498,BMW,7 Series,2015,gasoline,535,12,AUTOMATIC,RWD,4,Large,Sedan,20,13,3916,141200,False,False,False,False,False,True,False,True,False,False,True,2015 BMW 7 Series Sedan
506,BMW,7 Series,2015,diesel,255,6,AUTOMATIC,AWD,4,Large,Sedan,31,23,3916,82500,False,False,False,False,False,False,False,True,False,True,False,2015 BMW 7 Series Sedan
507,BMW,7 Series,2016,gasoline,445,8,AUTOMATIC,RWD,4,Large,Sedan,25,17,3916,94400,False,False,False,False,False,True,False,True,False,False,True,2016 BMW 7 Series Sedan
510,BMW,7 Series,2017,gasoline,445,8,AUTOMATIC,RWD,4,Large,Sedan,26,17,3916,94600,False,False,False,False,False,True,False,True,False,False,True,2017 BMW 7 Series Sedan
514,Porsche,718 Cayman,2017,gasoline,300,4,MANUAL,RWD,2,Compact,Coupe,28,21,1715,53900,False,False,False,False,False,True,False,True,False,False,True,2017 Porsche 718 Cayman Coupe
516,Toyota,86,2017,gasoline,205,4,MANUAL,RWD,2,Compact,Coupe,28,21,2031,26255,False,False,False,False,False,False,False,False,True,False,True,2017 Toyota 86 Coupe
517,Toyota,86,2017,gasoline,200,4,AUTOMATIC,RWD,2,Compact,Coupe,32,24,2031,26975,False,False,False,False,False,False,False,False,True,True,False,2017 Toyota 86 Coupe
518,Porsche,911,2015,gasoline,350,6,MANUAL,RWD,2,Compact,Convertible,27,19,1715,96200,False,False,False,False,False,True,False,True,False,False,True,2015 Porsche 911 Convertible
520,Porsche,911,2015,gasoline,430,6,MANUAL,AWD,2,Compact,Coupe,26,18,1715,120900,False,False,False,False,False,True,False,True,False,False,True,2015 Porsche 911 Coupe
523,Porsche,911,2015,gasoline,520,6,AUTOMATED_MANUAL,AWD,2,Compact,Convertible,24,17,1715,163000,False,False,False,False,False,True,False,True,False,False,True,2015 Porsche 911 Convertible
525,Porsche,911,2015,gasoline,520,6,AUTOMATED_MANUAL,AWD,2,Compact,Coupe,24,17,1715,151100,False,False,False,False,False,True,False,True,False,False,True,2015 Porsche 911 Coupe
537,Porsche,911,2016,gasoline,350,6,MANUAL,AWD,2,Compact,Convertible,26,19,1715,102930,False,False,False,False,False,True,False,True,False,False,True,2016 Porsche 911 Convertible
538,Porsche,911,2016,gasoline,430,6,MANUAL,AWD,2,Compact,Coupe,26,18,1715,120900,False,False,False,False,False,True,False,True,False,False,True,2016 Porsche 911 Coupe
545,Porsche,911,2016,gasoline,520,6,AUTOMATED_MANUAL,AWD,2,Compact,Coupe,24,17,1715,151100,False,False,False,False,False,True,False,True,False,False,True,2016 Porsche 911 Coupe
